molecule_chembl_id,canonical_smiles,standard_value,pchembl_value,bioactivity_class
CHEMBL3215634,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(-c4nn[nH]n4)cc23)cc1.Cl.Cl,9.2,8.04,Aktif
CHEMBL3215859,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(-c4noc(=O)[nH]4)cc23)cc1.Cl.Cl,11.0,7.96,Aktif
CHEMBL1808473,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(N4CCNC(=O)C4)cc23)cc1,2.2,8.66,Aktif
CHEMBL1808474,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(N4CCNC(=O)C4=O)cc23)cc1,2.7,8.57,Aktif
CHEMBL1808475,CC(C)Cn1c(CN)c(-c2ccccc2)c2cc(OCC(N)=O)ccc2c1=O.Cl,47.0,7.33,Aktif
CHEMBL1814760,Cl.O=C([C@@H]1C[C@H](NCc2ccnc3ccccc23)CN1)N1Cc2ccccc2C1,17700.0,4.75,Aktif Değil
CHEMBL1812728,Cn1c(CN)c(-c2ccccc2)c2cc(Cl)ccc2c1=O,16000.0,4.8,Aktif Değil
CHEMBL1812729,Cl.Cn1c(CCN)c(-c2ccccc2)c2cc(Cl)ccc2c1=O,87000.0,4.06,Aktif Değil
CHEMBL1812733,CCn1c(CN)c(-c2ccccc2)c2cc(Cl)ccc2c1=O,8300.0,5.08,Aktif Değil
CHEMBL1812734,CCCn1c(CN)c(-c2ccccc2)c2cc(Cl)ccc2c1=O,2400.0,5.62,Aktif Değil
CHEMBL1812735,CCCCn1c(CN)c(-c2ccccc2)c2cc(Cl)ccc2c1=O,2400.0,5.62,Aktif Değil
CHEMBL1812736,CC(C)Cn1c(CN)c(-c2ccccc2)c2cc(Cl)ccc2c1=O,1600.0,5.8,Aktif Değil
